IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
84.235.175.245,443,true,FRA,Europe,Frankfurt,270 ms,1043 kB/s
130.162.190.187,443,true,FRA,Europe,Frankfurt,282 ms,974 kB/s
138.2.178.36,443,true,FRA,Europe,Frankfurt,279 ms,943 kB/s
130.162.191.16,443,true,FRA,Europe,Frankfurt,285 ms,931 kB/s
141.144.232.60,443,true,FRA,Europe,Frankfurt,271 ms,873 kB/s
84.8.148.46,443,true,FRA,Europe,Frankfurt,270 ms,777 kB/s
143.47.232.245,443,true,FRA,Europe,Frankfurt,287 ms,748 kB/s
158.180.230.155,2095,true,CDG,Europe,Paris,260 ms,741 kB/s
143.47.243.144,8443,true,LHR,Europe,London,238 ms,701 kB/s
158.101.173.135,443,true,FRA,Europe,Frankfurt,256 ms,332 kB/s
132.226.205.40,443,true,FRA,Europe,Frankfurt,279 ms,284 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,266 ms,236 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,256 ms,211 kB/s
129.151.152.254,443,true,AMS,Europe,Amsterdam,294 ms,153 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,272 ms,147 kB/s
152.70.184.58,443,true,FRA,Europe,Frankfurt,260 ms,131 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,286 ms,112 kB/s
89.168.87.62,443,true,FRA,Europe,Frankfurt,260 ms,80 kB/s
141.147.71.32,443,true,FRA,Europe,Frankfurt,276 ms,77 kB/s
141.147.40.148,443,true,FRA,Europe,Frankfurt,285 ms,61 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,269 ms,57 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,265 ms,48 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,278 ms,45 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,269 ms,42 kB/s
144.24.173.250,2053,true,FRA,Europe,Frankfurt,279 ms,38 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,269 ms,32 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,257 ms,24 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,280 ms,19 kB/s
138.3.222.33,443,true,NRT,Asia Pacific,Tokyo,150 ms,14 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,255 ms,0 kB/s
150.230.96.222,443,true,SIN,Asia Pacific,Singapore,266 ms,0 kB/s
89.168.84.248,443,true,FRA,Europe,Frankfurt,258 ms,0 kB/s
213.35.124.73,8443,true,SIN,Asia Pacific,Singapore,299 ms,0 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,265 ms,0 kB/s
141.147.114.198,443,true,FRA,Europe,Frankfurt,274 ms,0 kB/s
213.35.115.68,443,true,SIN,Asia Pacific,Singapore,270 ms,0 kB/s
143.47.182.56,2053,true,AMS,Europe,Amsterdam,282 ms,0 kB/s
129.154.50.220,443,true,ICN,Asia Pacific,Seoul,155 ms,0 kB/s
150.230.151.63,443,true,FRA,Europe,Frankfurt,265 ms,0 kB/s
